"subjectnumber" "activity" "TimeDomainSignalBodyLinearAccelerationMeanX" "TimeDomainSignalBodyLinearAccelerationMeanY" "TimeDomainSignalBodyLinearAccelerationMeanZ" "TimeDomainSignalBodyLinearAccelerationStandardDeviationX" "TimeDomainSignalBodyLinearAccelerationStandardDeviationY" "TimeDomainSignalBodyLinearAccelerationStandardDeviationZ" "TimeDomainSignalGravityLinearAccelerationMeanX" "TimeDomainSignalGravityLinearAccelerationMeanY" "TimeDomainSignalGravityLinearAccelerationMeanZ" "TimeDomainSignalGravityLinearAccelerationStandardDeviationX" "TimeDomainSignalGravityLinearAccelerationStandardDeviationY" "TimeDomainSignalGravityLinearAccelerationStandardDeviationZ" "TimeDomainSignalBodyLinearAccelerationDerivativeMeanX" "TimeDomainSignalBodyLinearAccelerationDerivativeMeanY" "TimeDomainSignalBodyLinearAccelerationDerivativeMeanZ" "TimeDomainSignalBodyLinearAccelerationDerivativeStandardDeviationX" "TimeDomainSignalBodyLinearAccelerationDerivativeStandardDeviationY" "TimeDomainSignalBodyLinearAccelerationDerivativeStandardDeviationZ" "TimeDomainSignalBodyAngularVelocityMeanX" "TimeDomainSignalBodyAngularVelocityMeanY" "TimeDomainSignalBodyAngularVelocityMeanZ" "TimeDomainSignalBodyAngularVelocityStandardDeviationX" "TimeDomainSignalBodyAngularVelocityStandardDeviationY" "TimeDomainSignalBodyAngularVelocityStandardDeviationZ" "TimeDomainSignalBodyAngularVelocityDerivativeMeanX" "TimeDomainSignalBodyAngularVelocityDerivativeMeanY" "TimeDomainSignalBodyAngularVelocityDerivativeMeanZ" "TimeDomainSignalBodyAngularVelocityDerivativeStandardDeviationX" "TimeDomainSignalBodyAngularVelocityDerivativeStandardDeviationY" "TimeDomainSignalBodyAngularVelocityDerivativeStandardDeviationZ" "TimeDomainSignalBodyLinearAccelerationEuclideanNormMean" "TimeDomainSignalBodyLinearAccelerationEuclideanNormStandardDeviation" "TimeDomainSignalGravityLinearAccelerationEuclideanNormMean" "TimeDomainSignalGravityLinearAccelerationEuclideanNormStandardDeviation" "TimeDomainSignalBodyLinearAccelerationDerivativeEuclideanNormMean" "TimeDomainSignalBodyLinearAccelerationDerivativeEuclideanNormStandardDeviation" "TimeDomainSignalBodyAngularVelocityEuclideanNormMean" "TimeDomainSignalBodyAngularVelocityEuclideanNormStandardDeviation" "TimeDomainSignalBodyAngularVelocityDerivativeEuclideanNormMean" "TimeDomainSignalBodyAngularVelocityDerivativeEuclideanNormStandardDeviation" "FrequencyDomainSignalBodyLinearAccelerationMeanX" "FrequencyDomainSignalBodyLinearAccelerationMeanY" "FrequencyDomainSignalBodyLinearAccelerationMeanZ" "FrequencyDomainSignalBodyLinearAccelerationStandardDeviationX" "FrequencyDomainSignalBodyLinearAccelerationStandardDeviationY" "FrequencyDomainSignalBodyLinearAccelerationStandardDeviationZ" "FrequencyDomainSignalBodyLinearAccelerationDerivativeMeanX" "FrequencyDomainSignalBodyLinearAccelerationDerivativeMeanY" "FrequencyDomainSignalBodyLinearAccelerationDerivativeMeanZ" "FrequencyDomainSignalBodyLinearAccelerationDerivativeStandardDeviationX" "FrequencyDomainSignalBodyLinearAccelerationDerivativeStandardDeviationY" "FrequencyDomainSignalBodyLinearAccelerationDerivativeStandardDeviationZ" "FrequencyDomainSignalBodyAngularVelocityMeanX" "FrequencyDomainSignalBodyAngularVelocityMeanY" "FrequencyDomainSignalBodyAngularVelocityMeanZ" "FrequencyDomainSignalBodyAngularVelocityStandardDeviationX" "FrequencyDomainSignalBodyAngularVelocityStandardDeviationY" "FrequencyDomainSignalBodyAngularVelocityStandardDeviationZ" "FrequencyDomainSignalBodyLinearAccelerationEuclideanNormMean" "FrequencyDomainSignalBodyLinearAccelerationEuclideanNormStandardDeviation" "FrequencyDomainSignalBodyLinearAccelerationDerivativeEuclideanNormMean" "FrequencyDomainSignalBodyLinearAccelerationDerivativeEuclideanNormStandardDeviation" "FrequencyDomainSignalBodyAngularVelocityEuclideanNormMean" "FrequencyDomainSignalBodyAngularVelocityEuclideanNormStandardDeviation" "FrequencyDomainSignalBodyAngularVelocityDerivativeEuclideanNormMean" "FrequencyDomainSignalBodyAngularVelocityDerivativeEuclideanNormStandardDeviation"
1 "laying" 0.271902015927273 -0.0191869502145455 -0.101616286334545 -0.966878732 -0.957093940909091 -0.956286149090909 -0.299323891454545 0.876147199636364 0.422889949272727 -0.954815806909091 -0.979043887636364 -0.961675050181818 0.0834489552909091 0.01048016134 -0.001936436844 -0.977762698 -0.958147129454545 -0.979300214727273 -0.0192200432218182 -0.0800229262272727 0.152903675818182 -0.972586950909091 -0.968175082181818 -0.959457665636364 -0.0999449775272727 -0.0385648738727273 -0.0709897159272727 -0.977293428363636 -0.982895344909091 -0.983893695090909 -0.960673179090909 -0.947856162545455 -0.960673179090909 -0.947856162545455 -0.974188689272727 -0.969659324181818 -0.939746752727273 -0.948489160363636 -0.983562531818182 -0.980594122 -0.968260744727273 -0.954273697272727 -0.963712709272727 -0.966416543818182 -0.960604546363636 -0.955070054181818 -0.977225484181818 -0.959081503272727 -0.975957560181818 -0.980504929272727 -0.960100684363636 -0.981300839272727 -0.967256882545454 -0.972368258363636 -0.960315367454545 -0.974361115090909 -0.966477431454545 -0.962942195818182 -0.953178743636364 -0.952444599818182 -0.970034545454545 -0.968160016363636 -0.961471611272727 -0.949122415636364 -0.981785419090909 -0.980192862727273
2 "laying" 0.281469815434783 -0.0197715214413043 -0.10342405 -0.977540294565217 -0.957529880217391 -0.964700702173913 -0.350349043913044 0.769752883478261 0.643032741304348 -0.981184588913043 -0.989187404782609 -0.983823605 0.0744318030869565 0.00986363303934783 0.00109967834826087 -0.977523128913043 -0.973979888043478 -0.977824976086957 -0.0292585193043478 -0.0753908884347826 0.0880030200869565 -0.976741774347826 -0.965206552608696 -0.969822835 -0.0992958219565217 -0.039229584876087 -0.0578909629565217 -0.984163482391304 -0.979883520434783 -0.980507787826087 -0.970770427391304 -0.961065956956522 -0.970770427391304 -0.961065956956522 -0.97996110673913 -0.968426187173913 -0.966909575217391 -0.953137715 -0.984879712826087 -0.975589172826087 -0.975304775434783 -0.963653992608696 -0.967733358695652 -0.978538973478261 -0.956550651304348 -0.965228803043478 -0.976518566521739 -0.97414465326087 -0.973435011304348 -0.980947113695652 -0.975747667608696 -0.981209878043478 -0.975155238913043 -0.967639418043478 -0.968528979565217 -0.977468559130435 -0.964101281304348 -0.973059288043478 -0.963436282826087 -0.965070386086956 -0.968156731521739 -0.967591654130435 -0.963062841304348 -0.954624023913043 -0.976880024347826 -0.975368084347826
3 "laying" 0.281276483936508 -0.0168490006285714 -0.115634274142857 -0.965865637142857 -0.962055640793651 -0.963683908412698 -0.462771369365079 0.936145356349206 0.312073561269841 -0.94610212 -0.983846904603175 -0.970900611428571 0.0800942918730159 0.0113125012809524 -0.00156367004238095 -0.979729801746032 -0.958072735396825 -0.981907097142857 -0.0147485339350794 -0.0839763776206349 0.156908782793651 -0.97477518 -0.969168988888889 -0.959298437460318 -0.104959812206349 -0.0401307039126984 -0.0689531184603175 -0.97797605968254 -0.982216675079365 -0.98251227047619 -0.960605166349206 -0.958169115714286 -0.960605166349206 -0.958169115714286 -0.975487108095238 -0.97287120031746 -0.941743143968254 -0.951095142857143 -0.982971765079365 -0.980663945396825 -0.968607024920635 -0.958548777936508 -0.971694814126984 -0.964924359047619 -0.965833652063492 -0.961433280634921 -0.979699501111111 -0.959573211111111 -0.979235745238095 -0.981685695238095 -0.95938884047619 -0.983171862380952 -0.969377377301587 -0.972382351587302 -0.95863425015873 -0.976613812380952 -0.967918904920635 -0.963247953809524 -0.961334063809524 -0.962389827301587 -0.972850737142857 -0.971901511587302 -0.962329554920635 -0.952529278412698 -0.981352755714286 -0.980827546190476
4 "laying" 0.26150463 -0.0170545287811111 -0.103604059222222 -0.952593099259259 -0.946374328703704 -0.959289565740741 -0.399224212925926 -0.189527505185185 0.569532412777778 -0.930427158333333 -0.972308810185185 -0.963717373703704 0.0827303547962963 0.00591920153703704 -0.00832305378722222 -0.971353791481481 -0.963393600555556 -0.97630346462963 -0.01009842795 -0.127907919944444 0.121203551351852 -0.971372900555556 -0.942811711666667 -0.965438720740741 -0.101448254851852 -0.0339332824092593 -0.0591489076648148 -0.971149323888889 -0.957569303703704 -0.977962547777778 -0.948867477777778 -0.935997431111111 -0.948867477777778 -0.935997431111111 -0.972471955185185 -0.966801006666667 -0.92696682037037 -0.931382167222222 -0.967024227777778 -0.957655343518519 -0.955995608518519 -0.949146059074074 -0.964714885 -0.951370823518519 -0.947765615555555 -0.959076259259259 -0.971803644444444 -0.964178943888889 -0.973368783333333 -0.973531137592593 -0.965174040185185 -0.977778893148148 -0.962497306111111 -0.943894221481481 -0.961898463518518 -0.974296169074074 -0.942798800740741 -0.969895482962963 -0.944848043592593 -0.940880113518519 -0.966393729259259 -0.966393541481481 -0.939711879074074 -0.937981196851852 -0.958670594074074 -0.95911000462963
5 "laying" 0.245650872592593 -0.0104412526814815 -0.1284300715 -0.937774866796296 -0.927580710814815 -0.928012929444444 -0.483388996851852 0.957025806481482 0.17072485192963 -0.894359789259259 -0.959570263888889 -0.934285958888889 0.0996720777592593 -0.00372567659148148 0.00163110091111111 -0.96882539037037 -0.938028595555556 -0.961351730925926 -0.0119164284222222 -0.108936056481481 0.169709063685185 -0.958170044074074 -0.947865037962963 -0.946591230740741 -0.109774523777778 -0.0413902948881481 -0.0700759887777778 -0.942074018703704 -0.961692859074074 -0.965778148703704 -0.9257681855 -0.899265077222222 -0.9257681855 -0.899265077222222 -0.957793573518519 -0.952949463888889 -0.91585147037037 -0.926984164814815 -0.959080667222222 -0.956171442777778 -0.942439425740741 -0.927315573333333 -0.941013454074074 -0.936341686912963 -0.932099251962963 -0.926485645185185 -0.969496426111111 -0.940312574074074 -0.956461885185185 -0.970946892777778 -0.939867051111111 -0.964922587407407 -0.939195774444444 -0.946222471851852 -0.941395752407407 -0.96466114 -0.949420178518519 -0.953430434259259 -0.914115615685185 -0.907121403888889 -0.951654536851852 -0.953612330925926 -0.934802383703704 -0.93464502462963 -0.95671376462963 -0.958253731111111
6 "laying" 0.250176694038462 -0.0204411516884615 -0.101361036576923 -0.93651361 -0.926262668653846 -0.952978365961539 -0.502814250576923 0.393444278076923 0.907537823461538 -0.914221270096154 -0.955543549230769 -0.961908984423077 0.0968904018076923 0.0250624183634615 -0.0131653918205769 -0.980977756153846 -0.973093160192308 -0.972983064230769 -0.00282641913096154 -0.133605695057692 0.155920029769231 -0.9601268225 -0.945071935384615 -0.955294890576923 -0.105944243484615 -0.0358897425826923 -0.0671901794615385 -0.9738372325 -0.976483727307692 -0.988871878269231 -0.936392023846154 -0.907039513153846 -0.936392023846154 -0.907039513153846 -0.980127239615385 -0.967310932307692 -0.915793634807692 -0.918662459038462 -0.983008829038462 -0.971205137884615 -0.953424245576923 -0.942193953846154 -0.958611644615385 -0.931120580576923 -0.922917902307692 -0.953380646346154 -0.980393046923077 -0.972531648846154 -0.969524977692308 -0.983560175384615 -0.975886145 -0.975072995192308 -0.953684547692308 -0.957570207692308 -0.956905310961538 -0.962348254423077 -0.939727873653846 -0.9588764125 -0.927976880634615 -0.910542462919231 -0.968066259230769 -0.965359228076923 -0.941130719230769 -0.918892518653846 -0.974117912115385 -0.969403035384615
7 "laying" 0.261254282907407 -0.0212281733881481 -0.102245365611111 -0.94304121537037 -0.93489116 -0.932491454407407 -0.405930036111111 0.589922434814815 0.719831539259259 -0.918873192333333 -0.957990036481482 -0.94183626337037 0.0878326902592593 0.0233299159137037 -0.0169218791344444 -0.973253042222222 -0.976520952037037 -0.96608757462963 0.00535361206851852 -0.0891374138592593 0.13818830737037 -0.965204017592593 -0.952039385740741 -0.96758975462963 -0.106445008314815 -0.0389735198722222 -0.0694123150925926 -0.969924077407407 -0.974186451851852 -0.987601203703704 -0.935308633888889 -0.91325033 -0.935308633888889 -0.91325033 -0.97314748962963 -0.962954517222222 -0.924253348518518 -0.932470764444444 -0.978438191296296 -0.969029111666667 -0.953538563888889 -0.951816663703704 -0.944269514074074 -0.940125298333333 -0.931236756962963 -0.931146497518519 -0.973110596111111 -0.975877437407407 -0.962111136666667 -0.975959911481481 -0.979170881666667 -0.968699222962963 -0.957903886111111 -0.957411160185185 -0.967461239074074 -0.967846360740741 -0.950316470925926 -0.970671966481481 -0.932279645518518 -0.917257979425926 -0.961792852407407 -0.963791094259259 -0.944528950555556 -0.93678697 -0.968403945925926 -0.971793279814815
8 "laying" 0.280592970877193 -0.0176598052315789 -0.108786578070175 -0.98477733 -0.972196873859649 -0.971311176842105 -0.134832031403509 0.943017941403509 0.112620189964912 -0.97956560245614 -0.990765579649123 -0.984192606315789 0.0766645337017544 0.0122193853629825 0.00277690502070175 -0.985259108596491 -0.972777455263158 -0.982111784210526 -0.0191743840136842 -0.041559989822807 0.152019015929825 -0.980836884561403 -0.982442644035088 -0.959897432807018 -0.102297501877193 -0.0412391429298246 -0.0666957489649123 -0.981724838421053 -0.990845724736842 -0.986549063333333 -0.980621180175439 -0.972891829473684 -0.980621180175439 -0.972891829473684 -0.983330628421053 -0.976504858596491 -0.952523752105263 -0.954713182807018 -0.990641248245614 -0.984476476666667 -0.983801365614035 -0.971403935438596 -0.973576812807018 -0.985322211929825 -0.973589287368421 -0.971668077017544 -0.984884874385965 -0.973882496666667 -0.979564844210526 -0.987122678245614 -0.973486716315789 -0.983302949122807 -0.97618747122807 -0.982640271929825 -0.961434420701754 -0.982424585438596 -0.982660631754386 -0.963183902982456 -0.973994004561404 -0.976037695614035 -0.976940774561403 -0.975126531403509 -0.967093356491228 -0.954849053508772 -0.985978837192982 -0.983569468245614
9 "laying" 0.271144810909091 -0.0176804818333333 -0.114483316636364 -0.971858814545455 -0.965014602424242 -0.953697565757576 -0.360211676363636 0.969161880606061 -0.152875080484848 -0.970936596060606 -0.987480383636364 -0.972480732424242 0.0770421618181818 0.0103532201666667 0.00499273283418182 -0.969472136363636 -0.960331928484848 -0.97159596030303 -0.0192864146727273 -0.0465754496363636 0.130022225212121 -0.966583957272727 -0.95803674 -0.948034073030303 -0.0982699298787879 -0.0451027713030303 -0.068091493 -0.967914878181818 -0.968170202727273 -0.96832887969697 -0.965226728484848 -0.959093736363636 -0.965226728484848 -0.959093736363636 -0.970423902727273 -0.961160876060606 -0.942295796969697 -0.938997491818182 -0.972411541515152 -0.963406187272727 -0.968266523333333 -0.961556421212121 -0.958181578787879 -0.973521305151515 -0.968559323030303 -0.954177134242424 -0.969188445757576 -0.961260096060606 -0.968233256363636 -0.972687466060606 -0.962117291212121 -0.973599086060606 -0.958807308484849 -0.955010106969697 -0.943684351818182 -0.969267886363636 -0.960458937878788 -0.954470871818182 -0.958839622424242 -0.964889113333333 -0.962336884242424 -0.958411417272727 -0.948425673030303 -0.943267019393939 -0.965885077272727 -0.962488483636364
10 "laying" 0.276716360483871 -0.020440454366129 -0.104331864532258 -0.968891989354839 -0.950947949516129 -0.950392995483871 -0.156852206467742 0.656400944354839 0.598884988709677 -0.957875244677419 -0.975948136290323 -0.959892863709677 0.0767774832096774 0.0183441894580645 -0.00988389709596774 -0.98541995 -0.980152342903226 -0.983070657419355 -0.00973609968045161 -0.0966250701451613 0.117819614790323 -0.972143470322581 -0.96270462 -0.967350513709677 -0.101835573822581 -0.0417744000370968 -0.0648770419677419 -0.981404742903226 -0.978854747419355 -0.989801549193548 -0.960517768225806 -0.947944746612903 -0.960517768225806 -0.947944746612903 -0.985467853870968 -0.980066243387097 -0.944303111935484 -0.944687480967742 -0.98544626483871 -0.975113305645161 -0.974716920483871 -0.965843757258064 -0.966295582741935 -0.966960088387097 -0.947462328225806 -0.945852135806452 -0.985199684354839 -0.980375137419355 -0.980994601935484 -0.98707817516129 -0.981394261612903 -0.983670049354839 -0.96946349 -0.968689729193548 -0.969126880322581 -0.973446792419355 -0.959944126451613 -0.969797214516129 -0.959535493548387 -0.949431319193548 -0.980754385967742 -0.978044349516129 -0.957681621290323 -0.946133432096774 -0.978150814032258 -0.972798632258065
